x,y,z
324.1348223,287.1956935,0.364705882
99.91933497,698.9409105,0.694117647
585.6998421,569.1463773,0.607843137
569.3984997,722.8655308,0.705882353
576.5068914,332.7531311,0.243137255
491.285592,881.9212052,0.796078431
240.6825219,224.4030757,0.619607843
675.8180702,802.5789123,0.698039216
377.0180558,271.4184283,0.796078431
467.4242181,521.0667751,0.533333333
532.1953514,346.6622531,0.439215686
313.6446503,604.9229662,0.447058824
475.7465814,146.577093,0.839215686
431.8087284,186.3718184,0.878431373
313.9249298,599.2241927,0.411764706
501.0653187,297.2906197,0.521568627
224.9034829,288.6333755,0.415686275
415.9941413,564.0166707,0.57254902
397.2707582,968.9978772,0.647058824
272.6395974,411.363796,0.447058824
198.3447653,900.7175566,0.658823529
203.0165023,881.1799586,0.345098039
327.7838889,74.689002,0.674509804
524.5281132,937.9685054,0.282352941
310.6455717,304.3052252,0.658823529
562.243601,272.13188,0.631372549
521.5175229,624.8257785,0.650980392
378.4285357,657.3265622,0.384313725
477.1368714,181.2383054,0.835294118
164.1554783,528.9162825,0.231372549
611.8631137,521.1353239,0.592156863
417.5141567,659.9244936,0.494117647
305.6516648,393.1930665,0.764705882
314.8369413,305.716729,0.592156863
649.1384005,822.5493723,0.603921569
506.7346218,200.193197,0.745098039
452.7210967,428.291364,0.650980392
511.4159632,614.2172105,0.654901961
327.3440261,601.3031918,0.470588235
415.19525,808.2449787,0.831372549
262.3132974,835.8937889,0.82745098
447.2378855,312.3651388,0.576470588
553.7586449,589.8439143,0.694117647
201.2489335,591.423805,0.545098039
166.5568776,442.4805374,0.411764706
340.3851893,830.0626198,0.77254902
695.0032165,730.3588505,0.68627451
135.253824,743.2500986,0.619607843
152.1461046,510.1298641,0.294117647
201.7869071,548.3518879,0.403921569
339.4047524,352.4806946,0.823529412
310.0001361,559.3734522,0.454901961
662.9715574,663.7733294,0.654901961
484.8462979,943.0077906,0.231372549
608.5379478,877.9371746,0.215686275
344.6097106,63.09262248,0.650980392
266.9045032,360.0909346,0.57254902
314.070994,226.6520031,0.82745098
580.3192041,716.4978432,0.745098039
353.5661127,946.9760632,0.466666667
456.0892537,558.2860691,0.341176471
159.8427035,713.8206118,0.701960784
608.1140085,783.0790665,0.776470588
300.0226835,118.8800672,0.701960784
423.2401532,467.5062934,0.580392157
395.2737653,584.1675047,0.384313725
238.6512062,612.9563985,0.549019608
353.3924065,386.2784814,0.650980392
329.3428631,954.7590244,0.28627451
499.8521793,312.3852771,0.584313725
244.1222842,927.3372945,0.737254902
521.3809327,744.9839693,0.760784314
542.241864,672.2490899,0.721568627
631.8544146,872.9775904,0.17254902
712.4852736,626.4887946,0.596078431
173.0804644,478.3251593,0.262745098
529.0607246,353.6034667,0.423529412
647.307006,615.1826598,0.658823529
191.2095159,527.3378795,0.403921569
219.2526003,342.6400368,0.294117647
556.1392921,805.4100282,0.749019608
187.0700904,550.5520294,0.494117647
258.0815592,880.8304256,0.803921569
621.4526655,800.1531996,0.733333333
687.5409016,651.1903159,0.670588235
236.8328376,500.1070044,0.266666667
489.8065338,426.7157167,0.611764706
468.0964954,606.0624394,0.243137255
454.8084842,432.3995139,0.631372549
178.6177216,480.3804885,0.258823529
642.1167787,822.768177,0.650980392
281.8727845,797.0983092,0.815686275
245.838565,507.0828961,0.282352941
321.3948619,550.6041563,0.454901961
263.9944837,422.4857623,0.423529412
621.6456949,799.9066556,0.733333333
501.0391161,773.0165568,0.847058824
728.4825965,672.4092229,0.835294118
549.8199521,340.887267,0.352941176
334.613148,69.9893424,0.670588235
260.8698812,227.3400795,0.51372549
372.0471265,618.4066189,0.423529412
530.2875613,872.9252652,0.780392157
510.0806211,554.1879529,0.6
235.2650689,531.3068673,0.4
502.8137233,942.6671581,0.239215686
525.4572234,267.9905027,0.68627451
462.7488122,518.2171329,0.549019608
569.7080532,571.9939711,0.588235294
528.9470246,926.9225722,0.541176471
458.2995615,353.4728635,0.796078431
627.841443,567.2531916,0.580392157
185.9988776,709.996762,0.745098039
213.4695256,489.2970318,0.415686275
275.5003552,136.185261,0.647058824
201.2789704,533.2441696,0.466666667
472.9399961,873.8364364,0.77254902
203.599505,485.6871163,0.392156863
273.3256033,240.1539649,0.607843137
527.0414261,321.6272123,0.647058824
529.0540849,175.5115521,0.745098039
426.2099534,941.2407108,0.337254902
354.1345762,87.83173391,0.756862745
361.397759,486.88204,0.623529412
269.2597241,620.6133638,0.533333333
365.0797854,448.8820225,0.607843137
112.0820503,737.9919098,0.721568627
284.7927225,299.1554528,0.466666667
241.4119443,438.1500266,0.325490196
306.2028507,736.040941,0.721568627
541.3103041,905.9165466,0.760784314
212.3192107,551.3951945,0.415686275
576.6001969,468.9411758,0.670588235
377.9562796,408.842286,0.490196078
282.9667018,795.1256975,0.811764706
350.8049086,286.3445353,0.364705882
271.7419498,387.3472698,0.51372549
321.4630792,533.0986455,0.498039216
248.8777971,477.7301826,0.392156863
321.7972415,665.5944366,0.560784314
199.724126,381.447142,0.407843137
307.0998405,899.5204109,0.784313725
144.261783,430.5526162,0.588235294
513.9708517,580.28012,0.694117647
447.718448,630.4852153,0.423529412
583.280257,500.4467028,0.494117647
256.547761,611.5122748,0.454901961
357.3316034,595.2778872,0.458823529
558.409448,602.5584013,0.68627451
284.6701132,340.140902,0.701960784
564.1096082,499.9140262,0.403921569
484.2081584,266.6199721,0.729411765
69.80281753,636.4568999,0.635294118
489.2773735,505.296698,0.462745098
360.7908607,391.2343283,0.643137255
219.8119288,481.3792737,0.419607843
308.1704794,509.1967987,0.529411765
427.0287212,695.1755541,0.752941176
214.0059704,694.6209924,0.690196078
290.8690519,529.8973969,0.42745098
232.7926314,169.6806325,0.584313725
294.5554669,262.8293426,0.666666667
148.6272089,458.0179536,0.474509804
236.0759407,824.6259671,0.698039216
260.0003527,189.2663891,0.580392157
175.3640953,525.7721923,0.243137255
395.1244425,570.9388904,0.478431373
542.3122222,527.3136917,0.223529412
602.9118729,668.2607194,0.709803922
243.8878392,774.7261289,0.741176471
365.4379991,537.1355504,0.733333333
242.1558609,452.5277349,0.254901961
423.5787047,573.1397483,0.364705882
149.8584661,609.56174,0.592156863
512.7578128,474.4216064,0.403921569
444.3441986,367.3959339,0.929411765
172.8031748,699.2978887,0.729411765
238.0064359,333.5196858,0.501960784
142.5824396,854.2647686,0.321568627
328.5164303,496.1429826,0.701960784
493.9275256,631.9825075,0.6
502.0971045,480.9006932,0.454901961
572.7125238,483.2413744,0.603921569
695.3998346,732.6182413,0.682352941
549.8394139,871.0424299,0.592156863
302.4778578,231.7925511,0.729411765
474.4733054,597.7345183,0.28627451
158.4879929,412.5965233,0.419607843
390.8305946,610.5508495,0.439215686
545.408612,547.1810365,0.6
449.3101862,667.1130949,0.588235294
278.6338019,419.5976169,0.498039216
144.4899137,478.5846141,0.411764706
374.8958017,640.9970188,0.392156863
474.3425691,582.0993855,0.521568627
263.8251926,665.9467676,0.411764706
397.6321435,599.0876009,0.419607843
292.4388333,954.2168409,0.4
408.5753556,267.4640192,0.839215686
341.6435031,769.514713,0.82745098
538.5867669,478.7967418,0.282352941
626.9690864,747.186112,0.639215686
186.2382253,315.2405047,0.258823529
510.1314801,296.0329502,0.619607843
318.1543218,563.8525452,0.466666667
620.8680846,873.7908554,0.211764706
431.5973736,593.7917378,0.345098039
258.1727373,615.4911463,0.478431373
642.5647565,571.0589726,0.6
170.0520569,529.8296343,0.22745098
324.5596242,557.3542316,0.466666667
62.6079598,628.1364691,0.631372549
409.156854,707.0699368,0.768627451
573.2512327,382.8101217,0.450980392
369.4027199,617.1173016,0.42745098
550.7603323,816.9868144,0.745098039
342.9169838,179.5307266,0.854901961
316.5690372,959.2195359,0.423529412
301.0653944,630.4873436,0.482352941
569.3320803,592.8153297,0.698039216
202.5481705,443.9849233,0.419607843
283.7604015,208.6484951,0.647058824
211.9363555,589.9156779,0.552941176
463.97787,465.1858578,0.490196078
272.7054371,429.9272124,0.454901961
510.0350809,899.0452268,0.803921569
397.1591368,730.5938711,0.768627451
601.9377381,324.3773243,0.411764706
599.9541378,680.0030045,0.674509804
634.1108909,643.7821363,0.666666667
423.9230965,934.9672285,0.670588235
605.5425641,516.5189894,0.501960784
544.0734592,820.9175709,0.737254902
82.73163959,734.5427592,0.698039216
439.4596461,930.4878055,0.780392157
316.6662343,88.55418136,0.674509804
471.6430956,142.5717457,0.839215686
194.4004978,646.8597493,0.674509804
409.4886466,493.0422265,0.639215686
292.810372,567.8467964,0.48627451
409.2411533,919.0672871,0.709803922
494.7051599,513.7583052,0.396078431
239.0387682,607.7825399,0.541176471
135.9091366,655.5880856,0.678431373
376.0482367,821.8935291,0.717647059
145.4563852,501.8276934,0.376470588
179.9744403,828.3499168,0.760784314
222.1949783,535.0630595,0.439215686
244.5815185,435.7754463,0.360784314
540.5610184,650.8568671,0.71372549
303.4028775,218.9312925,0.749019608
616.3764249,882.945666,0.184313725
266.3150945,605.2476553,0.454901961
252.7575416,578.6953384,0.462745098
320.2608518,629.0169377,0.533333333
427.9569379,441.6020428,0.776470588
368.886912,646.636499,0.380392157
572.4793835,651.0868235,0.666666667
341.5056872,434.9471381,0.666666667
240.9613879,468.6657227,0.309803922
477.697469,558.0736373,0.349019608
179.9634952,635.9027936,0.545098039
162.8352575,451.7884055,0.388235294
503.8930085,351.3410154,0.8
215.7009132,411.610051,0.22745098
195.3801126,453.5539213,0.294117647
319.4099976,405.2698204,0.760784314
573.1595473,875.6390248,0.717647059
242.880634,482.6802068,0.301960784
300.073781,415.6115473,0.607843137
501.7623941,721.3980967,0.803921569
276.2319845,517.9751634,0.466666667
551.9645669,518.8190347,0.333333333
181.5496394,427.7636124,0.474509804
501.049815,932.5316862,0.450980392
236.1547879,570.2845631,0.494117647
278.5796143,843.2996414,0.831372549
271.0248416,893.7971901,0.803921569
105.6122479,649.3743139,0.639215686
262.4112947,362.5641562,0.505882353
535.4973283,515.5402879,0.298039216
556.1892994,506.3953997,0.317647059
154.818433,554.3463709,0.466666667
181.1670935,432.2295499,0.462745098
189.7091204,568.4199142,0.478431373
399.8664862,639.2146288,0.356862745
481.6370483,309.7996525,0.643137255
490.7684536,546.8703099,0.419607843
316.108788,653.7744846,0.545098039
556.0754514,916.6951564,0.521568627
239.6524387,699.5141168,0.701960784
46.81973289,637.806092,0.592156863
205.6204759,542.9207496,0.423529412
375.6840116,804.74351,0.725490196
637.1926136,542.5639356,0.694117647
96.24136898,611.1730704,0.666666667
270.4921395,886.6931369,0.811764706
273.8703672,858.295455,0.831372549
153.5003204,412.9912198,0.403921569
173.7198931,804.8517939,0.756862745
155.6563517,508.3971307,0.301960784
439.675747,631.7425642,0.376470588
354.715247,653.6547283,0.517647059
145.3283396,549.0460815,0.337254902
598.3039377,453.6326209,0.690196078
162.3105401,406.984603,0.411764706
396.0225297,660.8303112,0.380392157
559.9004191,343.9476198,0.250980392
486.4357145,190.2978723,0.823529412
236.4814818,272.827522,0.509803922
546.1438099,927.7352348,0.262745098
313.5506671,750.3102006,0.768627451
498.4773011,168.645127,0.796078431
488.2964734,460.7786438,0.490196078
412.3979017,850.7288185,0.674509804
431.589641,458.2193732,0.639215686
229.9704501,526.7631429,0.407843137
418.0621731,277.1869139,0.607843137
217.9241051,559.8732179,0.443137255
225.8173082,517.2767192,0.450980392
449.124482,115.2120488,0.839215686
465.611104,630.3476802,0.639215686
560.1885512,541.9543987,0.556862745
251.9927804,505.6740693,0.282352941
79.39141597,688.5787716,0.658823529
544.7758839,874.0544079,0.584313725
242.0675149,791.5243277,0.709803922
692.7867195,736.3299187,0.682352941
280.650419,718.6319437,0.705882353
573.1381662,524.4324385,0.411764706
338.2957696,386.0531705,0.831372549
566.8952153,785.5438625,0.752941176
445.6404053,455.1512984,0.666666667
251.373306,240.3494635,0.545098039
228.9904203,533.0264517,0.396078431
527.2938741,392.3536757,0.549019608
390.6368824,767.0717089,0.776470588
156.5418278,612.3211766,0.556862745
510.9008141,262.6252279,0.647058824
351.9832972,651.3376153,0.529411765
261.7722206,658.9880958,0.443137255
421.2116841,489.4493171,0.662745098
132.0524129,819.4092147,0.678431373
482.4233192,948.0310629,0.211764706
453.0257724,845.2544992,0.776470588
311.205961,958.6529143,0.388235294
232.1584604,252.687473,0.580392157
501.8068915,197.6365601,0.756862745
508.314236,288.5969986,0.580392157
141.9099228,766.1628075,0.729411765
390.9461746,433.756968,0.274509804
207.680618,622.2249073,0.619607843
538.2862296,387.3601305,0.533333333
407.1857464,919.1974525,0.71372549
475.5058434,459.6200979,0.462745098
315.6582916,611.2265302,0.525490196
663.3198273,823.6412635,0.541176471
405.8547059,913.841023,0.717647059
265.0870472,607.2606844,0.470588235
363.7918057,270.0601314,0.788235294
205.5194172,438.8934786,0.403921569
432.3788326,294.1586815,0.48627451
493.3693392,811.7896344,0.82745098
377.3699379,900.9963546,0.658823529
467.533788,480.7593103,0.658823529
143.7791249,418.328072,0.843137255
151.7421461,427.084893,0.458823529
641.0231041,797.6425065,0.639215686
520.3393663,482.5331068,0.305882353
239.3174665,504.2386078,0.270588235
47.40929074,685.3177993,0.615686275
676.6425576,777.7674786,0.721568627
707.6779672,727.7099816,0.635294118
